% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
74 +6.393901963e+01 +6.393901963e+01 +1.434190196e+02 +1.434190196e+02 -4.4335e-03 +1.4488e-01 +7.4508e-02 +5.2706e-01 -3.6015e-01 +2.1116e-01 -7.1291e-02 +2.6517e-01 +1.5626e-01 -1.1091e+00 -7.6001e-01 +2.6167e-01 +6.4834e-01 +4.9230e-01 +6.3116e-01 +5.5162e-01 -3.5420e-01 -3.9965e-01 +4.5426e-01 -4.1979e-01
82 +5.943638745e+01 +5.943638745e+01 +1.389163875e+02 +1.389163875e+02 +2.8328e-01 -2.0747e-01 -1.4894e-01 +6.4189e-01 +7.7407e-02 +2.1869e-01 -7.4732e-02 +2.5378e-01 +3.4604e-01 -1.0542e+00 -9.7216e-01 +6.0287e-01 +2.4978e-01 +3.4471e-01 +8.3480e-01 +4.0598e-01 -2.1190e-01 -7.1182e-01 +4.9133e-01 +3.8036e-02
90 +5.794698233e+01 +5.794698233e+01 +1.374269823e+02 +1.374269823e+02 +5.7311e-02 -1.8121e-01 -1.4602e-01 +1.6709e-01 -3.5403e-01 -6.1919e-02 -2.3990e-01 +3.1058e-01 +2.1672e-01 -1.4130e+00 -9.7402e-01 +8.1559e-01 +7.2499e-01 +2.1650e-01 +4.1039e-01 +6.3330e-01 -1.2934e-03 -7.3679e-01 +4.8689e-01 -1.7856e-01
92 +5.374863213e+01 +5.374863213e+01 +1.332286321e+02 +1.332286321e+02 +1.5966e-01 -3.0635e-01 -2.4245e-01 +4.5242e-01 -1.5023e-01 +2.0311e-01 +1.9635e-02 +3.4758e-01 +2.7770e-01 -1.3147e+00 -1.1018e+00 +6.1829e-01 +1.9674e-01 +2.1178e-01 +8.3597e-01 +7.2575e-01 -2.3682e-01 -1.0830e+00 +3.5829e-01 -1.2480e-01
105 +5.366980784e+01 +5.366980784e+01 +1.331498078e+02 +1.331498078e+02 +6.1538e-02 -8.1710e-02 -1.8555e-01 +3.6626e-01 -6.6585e-01 +4.8354e-02 -4.1266e-01 +7.0624e-01 -5.1735e-03 -1.1010e+00 -9.9616e-01 +7.2466e-01 +3.1561e-01 +1.3604e-01 +1.3383e+00 +1.0117e+00 -2.0993e-01 -4.9372e-01 +2.8762e-01 -4.1059e-01
106 +5.153701267e+01 +5.153701267e+01 +1.310170127e+02 +1.310170127e+02 -3.0276e-01 -4.3141e-01 -2.3667e-01 +6.5787e-01 -6.6559e-01 +3.4102e-02 -2.9548e-01 +1.1792e+00 +1.6062e-01 -6.6032e-01 -1.8388e+00 +7.3668e-01 +6.5110e-01 +5.3267e-01 +1.2392e+00 +8.6521e-01 -1.8832e-01 -5.7317e-01 +2.3376e-01 -2.2050e-01
107 +5.014979857e+01 +5.014979857e+01 +1.296297986e+02 +1.296297986e+02 -1.2954e-01 +2.3207e-02 -2.3410e-01 +4.0810e-01 -3.9667e-01 +7.1075e-02 -2.4285e-01 +1.1734e+00 +2.0815e-02 -1.4359e+00 -1.2081e+00 +4.8577e-01 +5.5676e-01 +5.0123e-01 +1.2390e+00 +7.0750e-01 -3.4076e-01 -1.1279e+00 +4.0500e-01 -1.9449e-02
114 +4.965406725e+01 +4.965406725e+01 +1.291340672e+02 +1.291340672e+02 -1.4957e-01 -6.2924e-02 -3.1416e-01 +7.5294e-01 -4.1158e-01 +3.1219e-01 +6.6493e-02 +1.3721e+00 +2.7957e-01 -1.2528e+00 -1.4737e+00 +6.3889e-01 +8.7388e-01 +3.2646e-01 +1.4290e+00 +8.4413e-01 -2.3481e-01 -7.5696e-01 +4.7176e-01 -2.1409e-01
118 +4.778718168e+01 +4.778718168e+01 +1.272671817e+02 +1.272671817e+02 -3.8703e-01 -3.3759e-01 -1.7452e-01 -4.4851e-01 -6.4695e-01 -3.6300e-02 -2.6504e-01 +1.5803e+00 +6.8779e-03 -1.3398e+00 -1.9482e+00 +5.0035e-01 +8.0367e-01 +8.1338e-01 +2.0206e+00 +6.6073e-01 -7.2650e-01 -1.2576e+00 +2.4853e-01 -1.0300e-01
127 +4.394057304e+01 +4.394057304e+01 +1.234205730e+02 +1.234205730e+02 -3.9452e-01 -4.1240e-01 +1.9185e-01 +2.9213e-01 -1.2210e+00 +4.9474e-01 -2.4099e-01 +1.4724e+00 +2.9375e-02 -7.6219e-01 -2.1878e+00 +6.1870e-01 +6.7772e-01 +6.3557e-01 +1.2894e+00 +6.5205e-01 -7.5944e-01 -1.4936e+00 +5.8497e-01 -2.1772e-02
134 +4.199688017e+01 +4.199688017e+01 +1.214768802e+02 +1.214768802e+02 -4.5385e-01 -1.6629e-01 +7.6399e-02 -3.5844e-01 -1.6598e+00 +5.3407e-01 -1.8793e-01 +1.2935e+00 -2.4019e-01 -1.2672e+00 -2.1001e+00 +1.9437e-01 +2.7564e-01 +1.6036e+00 +1.8820e+00 +1.4291e+00 -9.7331e-01 -1.7721e+00 +5.2873e-01 -4.1463e-01
139 +4.068277111e+01 +4.068277111e+01 +1.201627711e+02 +1.201627711e+02 -6.7017e-01 -9.6346e-02 +4.0935e-01 +4.1992e-01 -1.6549e+00 -2.0993e-01 -2.9511e-01 +1.1645e+00 +5.1348e-01 -1.8059e+00 -1.5126e+00 +9.7879e-01 +3.7198e-02 +1.1891e+00 +1.4838e+00 +1.0495e+00 -3.8237e-01 -1.8529e+00 +8.4342e-01 -1.5067e-01
146 +3.518608657e+01 +3.518608657e+01 +1.146660866e+02 +1.146660866e+02 -5.8171e-01 +1.4560e-02 +1.0868e-01 +4.0654e-01 -1.5379e+00 +2.0495e-01 -1.9193e-01 +8.2676e-01 +2.9477e-01 -1.7504e+00 -2.8263e+00 +1.3455e+00 +3.4418e-01 +1.1800e+00 +1.2689e+00 +1.0714e+00 -5.7793e-01 -1.7771e+00 +3.3686e-01 +2.6503e-01
160 +3.425228126e+01 +3.425228126e+01 +1.137322813e+02 +1.137322813e+02 -7.6352e-01 -2.6204e-02 -1.6218e-02 +5.2023e-01 -1.0560e+00 +1.7688e-01 -5.1666e-01 +1.6545e+00 +5.0053e-01 -1.9829e+00 -2.3756e+00 +1.7130e+00 +9.7739e-02 +7.4134e-01 +1.7604e+00 +1.6458e+00 -5.3869e-01 -1.5612e+00 +6.0318e-01 +6.0707e-01
170 +3.171870447e+01 +3.171870447e+01 +1.111987045e+02 +1.111987045e+02 +1.1244e-02 +1.3090e-01 +1.4642e-01 -1.0300e-01 -1.3173e+00 +1.9819e-01 -6.8533e-02 +1.0408e+00 +2.1432e-01 -1.4867e+00 -1.6069e+00 +1.1343e+00 -2.4107e-01 +1.4402e+00 +2.1971e+00 +1.4326e+00 -3.0053e-01 -2.7469e+00 +1.6030e+00 +8.3020e-01
172 +3.097816773e+01 +3.097816773e+01 +1.104581677e+02 +1.104581677e+02 -1.0484e-01 +6.1312e-01 +5.7603e-01 -3.6715e-01 -7.2890e-01 -8.4983e-02 +8.1740e-02 +7.6841e-01 -2.0290e-01 -2.3190e+00 -2.0615e+00 +1.0116e+00 +1.0991e-01 +1.0043e+00 +2.1644e+00 +2.1400e+00 -1.0561e+00 -2.5525e+00 +1.2562e+00 +6.5707e-01
173 +2.847935090e+01 +2.847935090e+01 +1.079593509e+02 +1.079593509e+02 -2.5239e-01 -8.9875e-03 +3.9417e-01 +7.7758e-01 -6.1242e-01 +2.1876e-01 -2.4774e-01 +1.5439e+00 +2.4760e-01 -2.3950e+00 -2.3855e+00 +1.6972e+00 +1.3958e-01 +1.0340e+00 +1.8382e+00 +1.8124e+00 -5.7392e-01 -2.8584e+00 +5.8969e-01 +5.7797e-01
178 +2.381715310e+01 +2.381715310e+01 +1.032971531e+02 +1.032971531e+02 -3.1377e-01 +2.0713e-01 +5.3522e-01 +3.9624e-01 -1.6978e+00 +1.1978e-01 -2.3904e-01 +1.0948e+00 +3.3729e-02 -2.6213e+00 -2.4651e+00 +1.8388e+00 +3.7226e-01 +1.0298e+00 +1.9562e+00 +2.2785e+00 -4.3069e-01 -2.7769e+00 +9.6021e-01 -1.7148e-01
200 +2.142558913e+01 +2.142558913e+01 +1.009055891e+02 +1.009055891e+02 -8.5130e-01 -1.5285e-01 +3.7299e-01 +9.8432e-01 -1.7527e+00 +9.4628e-04 -4.4537e-01 +4.6399e-01 -6.1795e-01 -3.0798e+00 -1.7282e+00 +1.8554e+00 +2.8861e-01 +5.5320e-01 +3.2207e+00 +1.1486e+00 +4.1868e-01 -3.6679e+00 +5.1753e-01 -1.0852e-01
204 +2.067908158e+01 +2.067908158e+01 +1.001590816e+02 +1.001590816e+02 -1.3038e+00 +5.8430e-01 -3.8695e-02 +4.9087e-01 -1.7819e+00 +1.6882e-01 -9.9676e-01 +6.6544e-01 -5.8261e-01 -2.6909e+00 -1.7990e+00 +2.2574e+00 +2.8056e-01 +4.2637e-01 +2.7490e+00 +2.0410e+00 +5.6330e-01 -4.1903e+00 +1.3853e+00 +2.4066e-01
216 +1.984986254e+01 +1.984986254e+01 +9.932986254e+01 +9.932986254e+01 -1.1111e+00 -5.2511e-02 +6.5971e-03 +6.8572e-01 -1.9599e+00 -2.1945e-01 -4.1197e-01 +8.1432e-01 -5.5414e-01 -2.9894e+00 -2.4097e+00 +1.9696e+00 +3.8626e-01 +5.5380e-01 +2.4191e+00 +1.1164e+00 +4.6222e-01 -4.8220e+00 +1.4299e+00 -1.5006e-01
220 +1.769369995e+01 +1.769369995e+01 +9.717369995e+01 +9.717369995e+01 -1.4537e+00 -3.8076e-01 +2.5886e-01 +9.4567e-01 -2.1383e+00 -4.1392e-01 +1.9312e-01 -4.0681e-02 -4.5984e-01 -3.1608e+00 -3.4760e+00 +1.9725e+00 -1.2012e-01 +9.1105e-01 +2.8850e+00 +1.8065e+00 +6.9801e-01 -4.7419e+00 +1.1102e+00 -1.9399e-01
222 +1.728779882e+01 +1.728779882e+01 +9.676779882e+01 +9.676779882e+01 -1.1536e+00 -4.9483e-01 -5.5932e-01 +4.7541e-01 -1.7099e+00 -1.6417e-01 -5.7395e-01 +3.1300e-01 -1.0285e+00 -2.1587e+00 -2.6332e+00 +1.4282e+00 +6.5650e-01 +4.8753e-01 +3.4418e+00 +1.9068e+00 +3.1954e-01 -5.5749e+00 +2.1108e+00 -5.5221e-01
227 +1.487138988e+01 +1.487138988e+01 +9.435138988e+01 +9.435138988e+01 -1.2049e+00 -5.5630e-01 -8.0715e-01 +1.1941e+00 -1.4670e+00 -3.2293e-02 -5.1446e-01 +2.1684e-01 -9.3565e-01 -2.6799e+00 -3.9534e+00 +1.1166e+00 +9.8983e-01 +5.1143e-01 +4.2069e+00 +1.3662e+00 +6.5229e-01 -4.7050e+00 +1.6846e+00 -5.9184e-01
246 +1.319851952e+01 +1.319851952e+01 +9.267851952e+01 +9.267851952e+01 -1.0077e+00 -7.6924e-01 -2.8824e-01 +1.5502e+00 -3.0366e+00 -1.3782e-01 -6.2596e-01 +9.8633e-02 -1.6096e+00 -2.6340e+00 -4.6348e+00 +1.7327e+00 +4.2785e-01 +1.5392e-01 +3.4625e+00 +3.0456e+00 +2.5656e-01 -4.7108e+00 +7.5016e-01 -1.0168e+00
252 +1.315500278e+01 +1.315500278e+01 +9.263500278e+01 +9.263500278e+01 -1.0467e+00 -1.1644e+00 +7.5055e-02 +1.3194e+00 -3.2127e+00 +2.1845e-01 -2.5930e-01 +5.2755e-01 -6.6259e-01 -3.2299e+00 -3.8678e+00 +1.8336e+00 +9.4410e-01 +3.1287e-01 +2.7701e+00 +2.3378e+00 -5.5158e-01 -4.4094e+00 +1.0248e+00 -9.7549e-01
276 +1.266506127e+01 +1.266506127e+01 +9.214506127e+01 +9.214506127e+01 -6.9437e-01 -1.4731e+00 -4.6640e-01 +1.6966e+00 -2.5913e+00 +6.4598e-01 +5.1914e-01 -1.2064e-02 -1.8296e+00 -3.8417e+00 -4.6256e+00 +2.3918e+00 +1.0851e+00 +7.2094e-01 +3.9498e+00 +3.0212e+00 -3.7752e-01 -2.6618e+00 +1.0722e+00 -1.0057e+00
285 +8.537875705e+00 +8.537875705e+00 +8.801787570e+01 +8.801787570e+01 +2.5662e-01 -1.3664e+00 -3.6429e-01 +1.1816e+00 -2.5254e+00 +4.2240e-03 +7.4717e-01 -7.1998e-01 -2.2478e+00 -3.5829e+00 -3.2282e+00 +1.5979e+00 +5.1891e-01 +1.7931e-01 +3.6367e+00 +2.5227e+00 -3.1981e-02 -3.0698e+00 +1.0597e+00 -3.4219e-02
297 +8.352746296e+00 +8.352746296e+00 +8.783274630e+01 +8.783274630e+01 +1.7581e-01 -1.5436e+00 -5.1102e-01 +1.1650e+00 -3.0044e+00 -2.2229e-01 +8.0136e-01 -7.5354e-01 -9.4920e-01 -3.3406e+00 -4.0217e+00 +1.6701e+00 +1.6068e+00 +1.4129e-01 +3.8172e+00 +2.0327e+00 +7.8491e-01 -3.9680e+00 +1.8477e+00 -2.2438e-01
298 +7.639674432e+00 +7.639674432e+00 +8.711967443e+01 +8.711967443e+01 +7.5351e-01 -8.5228e-01 -3.8239e-01 +1.1551e+00 -2.5675e+00 +4.4414e-01 +7.2427e-01 +2.2602e-01 -1.9087e+00 -2.5490e+00 -4.1420e+00 +1.3731e+00 +1.0349e+00 +3.1077e-01 +3.4105e+00 +2.0051e+00 +7.7824e-01 -3.5552e+00 +1.8627e+00 -3.1300e-01
309 +6.913011251e+00 +6.913011251e+00 +8.639301125e+01 +8.639301125e+01 +1.3286e-01 -1.6012e+00 -7.2800e-01 +1.6073e+00 -2.5280e+00 +3.2867e-01 +2.9972e-01 -3.9691e-02 -2.1013e+00 -3.4180e+00 -4.5488e+00 +1.8493e+00 +1.6330e+00 +5.0628e-01 +3.6290e+00 +2.1882e+00 +5.2368e-01 -3.7752e+00 +1.6291e+00 -4.7266e-01
317 +6.209728045e+00 +6.209728045e+00 +8.568972804e+01 +8.568972804e+01 +1.3362e+00 -7.0604e-01 -6.5337e-01 +1.4342e+00 -2.3128e+00 +4.1323e-01 +5.3904e-01 -2.1807e-01 -1.9116e+00 -2.0742e+00 -4.0574e+00 +1.9896e+00 +1.6533e+00 -2.7525e-01 +3.4443e+00 +3.1182e+00 +6.0240e-01 -3.6062e+00 +2.5553e+00 +4.6364e-02
319 +6.151420127e+00 +6.151420127e+00 +8.563142013e+01 +8.563142013e+01 +1.9191e-01 -1.5652e+00 -6.8412e-01 +1.3122e+00 -2.2777e+00 +5.0383e-01 -1.1188e-01 +3.6236e-01 -2.2053e+00 -3.5782e+00 -3.7184e+00 +1.9502e+00 +1.1947e+00 +9.4974e-01 +3.6500e+00 +2.4844e+00 +2.8040e-01 -4.2528e+00 +1.9635e+00 -3.9085e-01
329 +5.936265970e+00 +5.936265970e+00 +8.541626597e+01 +8.541626597e+01 +9.1729e-01 -8.5242e-01 -5.3200e-01 +1.2590e+00 -2.6795e+00 +1.5825e-01 +1.2369e-01 +1.5737e-01 -1.9284e+00 -2.9940e+00 -3.6124e+00 +1.8536e+00 +1.6258e+00 +5.4779e-01 +3.6659e+00 +2.7345e+00 +1.2725e-01 -3.5447e+00 +1.8582e+00 -4.9112e-01
390 +5.724152917e+00 +5.724152917e+00 +8.520415292e+01 +8.520415292e+01 +2.7422e-01 -1.2335e+00 -5.6097e-01 +1.5071e+00 -2.3998e+00 -7.4973e-02 +5.7022e-01 +6.7386e-01 -1.7360e+00 -3.6626e+00 -3.9330e+00 +1.7871e+00 +1.9484e+00 +6.3870e-01 +3.9780e+00 +3.2766e+00 -6.4299e-01 -4.1633e+00 +2.2369e+00 -9.0038e-02
400 +5.369097237e+00 +5.369097237e+00 +8.484909724e+01 +8.484909724e+01 +2.4870e-01 -1.0220e+00 -6.0431e-01 +1.4319e+00 -2.2321e+00 -2.3763e-01 +5.1087e-01 +7.1898e-01 -1.9833e+00 -3.4689e+00 -3.7514e+00 +1.7583e+00 +1.7907e+00 +6.5143e-01 +3.6003e+00 +2.9792e+00 -4.5600e-01 -4.0764e+00 +2.0951e+00 -7.6288e-02
403 +5.247802274e+00 +5.247802274e+00 +8.472780227e+01 +8.472780227e+01 +2.9045e-01 -8.0653e-01 -8.9685e-01 +1.6937e+00 -2.1861e+00 +7.6452e-04 +3.4111e-01 +2.8353e-01 -2.1587e+00 -3.7711e+00 -3.9187e+00 +1.9797e+00 +1.7012e+00 +5.9218e-01 +3.1686e+00 +2.7747e+00 -7.5328e-01 -4.4934e+00 +2.2517e+00 +3.2272e-02
416 +4.682654882e+00 +4.682654882e+00 +8.416265488e+01 +8.416265488e+01 +3.8497e-01 -8.8820e-01 -5.6779e-01 +1.7656e+00 -1.9695e+00 -4.9086e-03 +3.7885e-01 +4.6910e-01 -2.0364e+00 -3.4319e+00 -3.4700e+00 +2.1070e+00 +1.6490e+00 +5.7276e-01 +3.3608e+00 +2.3849e+00 -4.1112e-01 -4.4362e+00 +2.4863e+00 +1.1361e-01
425 +4.529867985e+00 +4.529867985e+00 +8.400986798e+01 +8.400986798e+01 +3.2220e-01 -9.5279e-01 -4.3742e-01 +2.1322e+00 -2.2470e+00 +1.4493e-01 +3.6405e-01 +4.9832e-01 -2.0294e+00 -3.4715e+00 -3.1246e+00 +2.0390e+00 +1.4196e+00 +8.9545e-01 +3.9792e+00 +2.5238e+00 -4.4302e-01 -4.5661e+00 +2.0347e+00 +4.1054e-01
430 +4.386440454e+00 +4.386440454e+00 +8.386644045e+01 +8.386644045e+01 +7.8054e-01 -1.0961e+00 -5.3502e-01 +1.8893e+00 -2.5550e+00 +4.0047e-01 +6.2320e-01 +7.3205e-01 -1.8962e+00 -3.4711e+00 -3.0236e+00 +2.0010e+00 +1.6049e+00 +7.1125e-01 +3.6064e+00 +2.9395e+00 -6.4323e-01 -4.6194e+00 +2.3857e+00 +6.2343e-01
436 +3.386336514e+00 +3.386336514e+00 +8.286633651e+01 +8.286633651e+01 +2.3219e-01 -8.9629e-01 -6.2247e-01 +2.0371e+00 -2.5511e+00 +4.4066e-01 +3.1900e-01 +3.0306e-01 -2.0538e+00 -3.3947e+00 -3.0047e+00 +2.1092e+00 +1.4420e+00 +6.6097e-01 +3.4282e+00 +2.3425e+00 -3.0157e-01 -4.5212e+00 +2.2759e+00 +5.9006e-01
439 +3.268711200e+00 +3.268711200e+00 +8.274871120e+01 +8.274871120e+01 +3.2881e-01 -6.5724e-01 -7.8482e-01 +2.1193e+00 -2.6579e+00 +3.7978e-01 +6.9746e-01 +6.9053e-01 -1.8172e+00 -3.5203e+00 -3.6036e+00 +1.9185e+00 +1.4270e+00 +5.5523e-01 +3.2385e+00 +2.6819e+00 -5.5825e-01 -4.0117e+00 +2.0693e+00 +5.6558e-01
442 +2.563671802e+00 +2.563671802e+00 +8.204367180e+01 +8.204367180e+01 +3.3204e-01 -9.3142e-01 -7.2762e-01 +2.2777e+00 -2.4483e+00 +3.3509e-01 +8.3497e-01 +5.3734e-01 -1.9847e+00 -3.2893e+00 -3.5104e+00 +2.1708e+00 +1.3406e+00 +2.0471e-01 +3.5089e+00 +2.5622e+00 -1.4006e-01 -3.8989e+00 +2.3599e+00 +5.6490e-01
446 +1.472745908e+00 +1.472745908e+00 +8.095274591e+01 +8.095274591e+01 +1.7538e-01 -9.6394e-01 -7.0779e-01 +1.9559e+00 -2.6657e+00 +3.1740e-01 +3.1567e-01 +4.8473e-01 -1.3822e+00 -3.2421e+00 -3.6701e+00 +1.5614e+00 +1.3946e+00 +2.4080e-01 +3.3839e+00 +2.9661e+00 -2.4434e-01 -4.2866e+00 +2.1388e+00 +8.2575e-01
462 +1.305157375e+00 +1.305157375e+00 +8.078515737e+01 +8.078515737e+01 -1.7140e-02 -9.7031e-01 -4.6215e-01 +2.1362e+00 -2.4398e+00 +1.6395e-01 +1.1277e-01 +2.4335e-01 -1.8832e+00 -3.3917e+00 -3.4007e+00 +2.0299e+00 +1.2954e+00 -1.0602e-02 +3.2041e+00 +2.6798e+00 -1.0395e-01 -4.0547e+00 +2.1720e+00 +9.7018e-01
486 +1.055453724e+00 +1.055453724e+00 +8.053545372e+01 +8.053545372e+01 +3.7322e-01 -1.0965e+00 -6.6159e-01 +2.4508e+00 -2.8231e+00 +5.1763e-02 +1.3413e-01 -1.1666e-01 -1.9995e+00 -3.1725e+00 -3.9047e+00 +2.0808e+00 +1.3174e+00 -2.2324e-02 +3.3420e+00 +2.9743e+00 +1.4786e-01 -3.8568e+00 +2.1242e+00 +1.5183e+00
510 +8.209391397e-01 +8.209391397e-01 +8.030093914e+01 +8.030093914e+01 +3.3875e-01 -1.0129e+00 -5.9113e-01 +1.9996e+00 -2.6305e+00 -1.4832e-02 +1.0902e-01 +2.2054e-01 -2.1159e+00 -3.2775e+00 -3.6826e+00 +2.0228e+00 +1.1635e+00 -2.0762e-01 +3.5789e+00 +3.0991e+00 +1.3078e-01 -4.0084e+00 +2.4458e+00 +1.5832e+00
529 +4.998634736e-01 +4.998634736e-01 +7.997986347e+01 +7.997986347e+01 +3.3428e-01 -1.2864e+00 -5.4179e-01 +1.9392e+00 -2.7371e+00 +5.1054e-01 -6.4219e-02 +7.9115e-02 -1.8072e+00 -3.3070e+00 -3.8958e+00 +1.9997e+00 +1.1088e+00 -1.2271e-01 +3.8649e+00 +3.1050e+00 -3.0750e-01 -3.8778e+00 +2.0694e+00 +1.7115e+00
578 +3.716597039e-01 +3.716597039e-01 +7.985165970e+01 +7.985165970e+01 +7.9349e-02 -1.3503e+00 -7.4518e-01 +1.7311e+00 -2.5554e+00 +3.3954e-01 +1.6789e-01 +7.7544e-02 -1.8300e+00 -3.0453e+00 -3.8493e+00 +1.8948e+00 +1.1330e+00 -2.6440e-01 +3.5524e+00 +2.9369e+00 -2.6691e-01 -3.9660e+00 +2.5022e+00 +1.2154e+00
675 +3.623254348e-01 +3.623254348e-01 +7.984232543e+01 +7.984232543e+01 +9.2427e-02 -1.1262e+00 -8.4207e-01 +1.6805e+00 -2.7041e+00 +4.1432e-01 -1.0323e-01 +2.5967e-01 -1.8994e+00 -3.2633e+00 -3.8486e+00 +1.9542e+00 +1.0251e+00 -3.6898e-02 +3.7228e+00 +2.7764e+00 +3.7765e-02 -3.7507e+00 +2.2082e+00 +1.4678e+00
676 +3.159025724e-01 +3.159025724e-01 +7.979590257e+01 +7.979590257e+01 +2.1333e-02 -1.0668e+00 -9.0661e-01 +1.7870e+00 -2.5483e+00 +3.9692e-01 -1.6609e-01 +3.1443e-01 -1.6175e+00 -3.1353e+00 -3.9212e+00 +2.0917e+00 +9.5934e-01 +1.3411e-02 +3.5888e+00 +2.7719e+00 +1.3374e-01 -4.0187e+00 +2.3773e+00 +1.3820e+00
682 +2.703282885e-01 +2.703282885e-01 +7.975032829e+01 +7.975032829e+01 -1.7433e-02 -1.1655e+00 -8.9974e-01 +1.7597e+00 -2.8298e+00 +3.4251e-01 -2.0301e-01 +1.4434e-01 -1.6993e+00 -2.9727e+00 -3.9326e+00 +2.0570e+00 +1.0210e+00 -1.4471e-01 +3.6017e+00 +2.9131e+00 +6.7168e-02 -3.9428e+00 +2.1779e+00 +1.3735e+00
