% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
235 +1.972581071e+01 +1.972581071e+01 +9.107581071e+01 +9.107581071e+01 +3.7194e-01 +5.9884e-01 -4.8912e-01 -7.0645e-01 -4.5287e-01 -7.5418e-01 -3.4333e-01 +1.6143e-01 +8.8586e-01 +3.4836e-01 -8.7530e-02 +6.6866e-01 -2.9750e-01 -3.8925e-01 +2.9853e-01 +1.6418e-01 +6.4535e-01 +2.2849e-01 +8.0425e-01 +1.9605e-01
293 +1.701424659e+01 +1.701424659e+01 +8.836424659e+01 +8.836424659e+01 +5.6047e-01 +4.0489e-01 -5.4601e-01 -9.1183e-01 -5.0994e-01 -9.8246e-01 -3.5673e-01 +3.3651e-01 +6.0644e-01 +1.5499e-01 -2.7487e-02 +7.9392e-01 -5.0630e-01 -3.9901e-01 +5.1664e-01 -1.9829e-02 +7.6362e-01 -6.3911e-02 +7.1183e-01 -6.9858e-02
520 +1.643764059e+01 +1.643764059e+01 +8.778764059e+01 +8.778764059e+01 +3.3899e-01 +1.6749e-01 -4.8399e-01 -2.2088e-01 -6.6501e-01 -4.8590e-01 -1.4848e-01 +4.7361e-01 +3.9803e-01 -3.0882e-02 +1.7105e-01 +7.5281e-01 -8.4733e-01 -1.6587e-01 +3.5422e-01 +3.0691e-01 +1.3614e+00 +6.2189e-02 +1.0445e-01 -1.6881e-01
550 +1.544330549e+01 +1.544330549e+01 +8.679330549e+01 +8.679330549e+01 +3.8405e-01 +2.0188e-01 -5.5074e-01 -2.3760e-01 -6.8095e-01 -5.3972e-01 -3.1947e-01 +3.7325e-01 +4.6614e-01 -5.1025e-02 +1.4888e-01 +9.4614e-01 -8.6294e-01 -1.5311e-01 +3.7020e-01 +2.6157e-01 +1.4968e+00 +9.9679e-02 +1.8352e-01 -3.4338e-01
618 +1.408025578e+01 +1.408025578e+01 +8.543025578e+01 +8.543025578e+01 +5.8488e-01 +3.1667e-01 -5.1201e-01 -8.4194e-02 -6.9520e-01 -5.4567e-01 -1.4170e-01 +5.9165e-01 +4.1019e-01 -2.1195e-01 +3.4707e-02 +1.0559e+00 -8.2282e-01 -1.6188e-01 +5.6676e-01 +3.9082e-01 +1.4000e+00 +6.9318e-02 +2.2032e-01 -2.9179e-01
642 +1.230010321e+01 +1.230010321e+01 +8.365010321e+01 +8.365010321e+01 +5.0070e-01 +3.0236e-01 -5.1870e-01 -1.8226e-01 -6.4996e-01 -6.4609e-01 -1.9287e-01 +6.7383e-01 +5.2326e-01 -1.2111e-01 +6.3051e-02 +8.2577e-01 -8.4278e-01 -2.2782e-01 +6.2854e-01 +2.8036e-01 +1.2861e+00 +9.0868e-02 +3.2989e-01 -3.0103e-01
856 +1.160664742e+01 +1.160664742e+01 +8.295664742e+01 +8.295664742e+01 +6.0289e-01 +2.9938e-01 -4.9506e-01 -1.8123e-01 -6.8335e-01 -6.2488e-01 -2.2792e-01 +7.0259e-01 +5.7574e-01 -2.3921e-01 +9.5990e-02 +7.6214e-01 -8.1806e-01 -2.4132e-01 +3.7118e-01 +2.8182e-01 +1.2988e+00 +1.2477e-01 +2.1552e-01 -4.6020e-01
967 +1.140540098e+01 +1.140540098e+01 +8.275540098e+01 +8.275540098e+01 +4.8156e-01 +2.9991e-01 -5.4638e-01 -2.4117e-01 -7.1439e-01 -7.0191e-01 -1.9699e-01 +6.6738e-01 +5.2492e-01 -2.1471e-01 +1.1773e-01 +7.4064e-01 -7.7829e-01 -2.2701e-01 +3.5876e-01 +2.8845e-01 +1.2999e+00 +1.9721e-01 +2.4073e-01 -3.8721e-01
984 +1.103677516e+01 +1.103677516e+01 +8.238677516e+01 +8.238677516e+01 +4.5132e-01 +2.9483e-01 -5.5439e-01 -2.2136e-01 -7.3286e-01 -7.4062e-01 -9.8458e-02 +6.7928e-01 +5.1494e-01 -1.8823e-01 +4.9495e-02 +7.3430e-01 -7.9308e-01 -2.1871e-01 +4.6851e-01 +2.6570e-01 +1.2286e+00 +1.6956e-01 +2.8238e-01 -3.5161e-01
1057 +1.026398197e+01 +1.026398197e+01 +8.161398197e+01 +8.161398197e+01 +4.1823e-01 +3.0131e-01 -5.5755e-01 -2.4550e-01 -7.0977e-01 -7.3012e-01 -9.0013e-02 +7.3318e-01 +5.9028e-01 -2.3970e-01 +4.7871e-02 +7.3418e-01 -8.2692e-01 -2.6403e-01 +4.3647e-01 +2.2156e-01 +1.2846e+00 +1.2656e-01 +2.9589e-01 -3.9837e-01
1140 +1.018106505e+01 +1.018106505e+01 +8.153106505e+01 +8.153106505e+01 +4.4241e-01 +3.2122e-01 -5.6628e-01 -2.0706e-01 -7.3137e-01 -7.9737e-01 -6.1024e-02 +7.2554e-01 +5.6298e-01 -2.5115e-01 +2.9408e-03 +7.2028e-01 -8.7102e-01 -2.2785e-01 +4.2756e-01 +2.4455e-01 +1.2534e+00 +1.3111e-01 +2.9133e-01 -3.3792e-01
1147 +9.108735006e+00 +9.108735006e+00 +8.045873501e+01 +8.045873501e+01 +4.3902e-01 +3.4137e-01 -5.7575e-01 -2.2001e-01 -7.2329e-01 -8.1027e-01 -8.3794e-02 +7.2200e-01 +5.7941e-01 -2.6915e-01 +1.3123e-02 +6.9240e-01 -8.8422e-01 -2.2377e-01 +4.6189e-01 +2.5496e-01 +1.2557e+00 +1.5892e-01 +3.0514e-01 -3.4013e-01
1248 +8.906982425e+00 +8.906982425e+00 +8.025698243e+01 +8.025698243e+01 +4.4237e-01 +3.4048e-01 -5.8043e-01 -2.2561e-01 -7.1256e-01 -7.9389e-01 -6.2201e-02 +7.4229e-01 +5.8066e-01 -2.7336e-01 +5.4495e-02 +7.1685e-01 -8.4693e-01 -2.4548e-01 +4.1418e-01 +2.3412e-01 +1.2475e+00 +1.8500e-01 +3.3344e-01 -3.6755e-01
1266 +8.631134901e+00 +8.631134901e+00 +7.998113490e+01 +7.998113490e+01 +4.3720e-01 +3.3652e-01 -5.7853e-01 -2.4877e-01 -7.0559e-01 -8.1741e-01 -7.0412e-02 +7.5022e-01 +6.0726e-01 -2.7729e-01 +3.0196e-02 +7.2808e-01 -8.4017e-01 -2.2836e-01 +4.5930e-01 +2.3286e-01 +1.2544e+00 +1.7420e-01 +3.1373e-01 -3.5734e-01
1293 +7.888702850e+00 +7.888702850e+00 +7.923870285e+01 +7.923870285e+01 +4.3301e-01 +3.3978e-01 -5.6737e-01 -2.3777e-01 -7.1446e-01 -8.0401e-01 -6.3628e-02 +7.6053e-01 +5.8875e-01 -2.8183e-01 +2.8354e-02 +7.0922e-01 -8.4651e-01 -2.4152e-01 +4.7844e-01 +2.3170e-01 +1.2328e+00 +1.7392e-01 +3.2290e-01 -3.7196e-01
1298 +7.760557806e+00 +7.760557806e+00 +7.911055781e+01 +7.911055781e+01 +4.2613e-01 +3.3529e-01 -5.6285e-01 -2.4668e-01 -7.1392e-01 -8.1657e-01 -6.5183e-02 +7.5950e-01 +5.8875e-01 -2.8494e-01 +3.7579e-02 +6.8221e-01 -8.4020e-01 -2.4477e-01 +4.6948e-01 +2.5396e-01 +1.2403e+00 +1.7012e-01 +3.1519e-01 -3.5094e-01
1364 +7.474045772e+00 +7.474045772e+00 +7.882404577e+01 +7.882404577e+01 +4.1495e-01 +3.3754e-01 -5.6957e-01 -2.2465e-01 -7.1431e-01 -8.0327e-01 -6.2852e-02 +7.7367e-01 +5.8209e-01 -2.9624e-01 +2.5856e-02 +7.1498e-01 -8.4415e-01 -2.4111e-01 +5.0393e-01 +2.4032e-01 +1.2518e+00 +1.7057e-01 +3.2861e-01 -3.5234e-01
1373 +7.394525253e+00 +7.394525253e+00 +7.874452525e+01 +7.874452525e+01 +4.1418e-01 +3.3212e-01 -5.6556e-01 -2.3932e-01 -7.1349e-01 -7.9664e-01 -6.6934e-02 +7.7426e-01 +5.9019e-01 -3.0305e-01 +3.7249e-02 +7.0062e-01 -8.3798e-01 -2.5094e-01 +4.7675e-01 +2.4033e-01 +1.2494e+00 +1.7527e-01 +3.1105e-01 -3.7733e-01
1651 +7.224084939e+00 +7.224084939e+00 +7.857408494e+01 +7.857408494e+01 +4.3030e-01 +3.2712e-01 -5.8900e-01 -2.2925e-01 -6.9274e-01 -8.0774e-01 -6.9179e-02 +7.8819e-01 +5.8344e-01 -3.0447e-01 +1.3211e-02 +7.0549e-01 -8.2946e-01 -2.2275e-01 +4.8339e-01 +2.6080e-01 +1.2467e+00 +1.5662e-01 +3.2335e-01 -3.8457e-01
1685 +6.761131939e+00 +6.761131939e+00 +7.811113194e+01 +7.811113194e+01 +4.2725e-01 +3.3663e-01 -5.7964e-01 -2.2425e-01 -6.9614e-01 -8.0554e-01 -5.8791e-02 +7.8651e-01 +5.9190e-01 -3.1349e-01 +1.2274e-02 +7.0552e-01 -8.3566e-01 -2.2984e-01 +4.7776e-01 +2.5512e-01 +1.2335e+00 +1.6406e-01 +3.1457e-01 -3.8688e-01
1717 +6.708026166e+00 +6.708026166e+00 +7.805802617e+01 +7.805802617e+01 +4.2290e-01 +3.3198e-01 -5.8434e-01 -2.2657e-01 -6.9350e-01 -8.0209e-01 -5.2408e-02 +7.8618e-01 +5.8495e-01 -3.1894e-01 +1.5223e-02 +6.9989e-01 -8.3309e-01 -2.2606e-01 +4.7250e-01 +2.4935e-01 +1.2340e+00 +1.6533e-01 +3.1949e-01 -3.9249e-01
1867 +6.531655283e+00 +6.531655283e+00 +7.788165528e+01 +7.788165528e+01 +4.2489e-01 +3.3201e-01 -5.7864e-01 -2.2879e-01 -6.9319e-01 -8.0135e-01 -6.2254e-02 +7.8338e-01 +5.8702e-01 -3.1626e-01 +1.8647e-02 +6.9516e-01 -8.2759e-01 -2.3057e-01 +4.7473e-01 +2.4981e-01 +1.2390e+00 +1.6610e-01 +3.1863e-01 -3.8739e-01
2097 +6.449692556e+00 +6.449692556e+00 +7.779969256e+01 +7.779969256e+01 +4.2641e-01 +3.3181e-01 -5.7834e-01 -2.2668e-01 -6.9465e-01 -7.9882e-01 -6.1498e-02 +7.8192e-01 +5.8363e-01 -3.1616e-01 +1.7902e-02 +6.9368e-01 -8.2753e-01 -2.2904e-01 +4.7747e-01 +2.4445e-01 +1.2351e+00 +1.6540e-01 +3.1936e-01 -3.9055e-01
2223 +6.292569484e+00 +6.292569484e+00 +7.764256948e+01 +7.764256948e+01 +4.2717e-01 +3.3306e-01 -5.7910e-01 -2.2466e-01 -6.9381e-01 -7.9843e-01 -6.0746e-02 +7.8101e-01 +5.8433e-01 -3.1654e-01 +1.7169e-02 +6.9411e-01 -8.2759e-01 -2.2876e-01 +4.7648e-01 +2.4454e-01 +1.2330e+00 +1.6536e-01 +3.2070e-01 -3.9166e-01
2729 +6.138382345e+00 +6.138382345e+00 +7.748838235e+01 +7.748838235e+01 +4.2788e-01 +3.3069e-01 -5.8001e-01 -2.2230e-01 -6.9350e-01 -7.9909e-01 -5.9283e-02 +7.8366e-01 +5.8446e-01 -3.1678e-01 +1.6912e-02 +6.9211e-01 -8.2920e-01 -2.2750e-01 +4.7745e-01 +2.4672e-01 +1.2346e+00 +1.6615e-01 +3.1859e-01 -3.9239e-01
3509 +6.022827455e+00 +6.022827455e+00 +7.737282745e+01 +7.737282745e+01 +4.2782e-01 +3.3065e-01 -5.8010e-01 -2.2274e-01 -6.9328e-01 -7.9895e-01 -5.9504e-02 +7.8386e-01 +5.8472e-01 -3.1711e-01 +1.7025e-02 +6.9194e-01 -8.2856e-01 -2.2746e-01 +4.7711e-01 +2.4641e-01 +1.2348e+00 +1.6614e-01 +3.1888e-01 -3.9188e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.508868155e+01 +6.508868155e+01 -2.901313185e+02 -2.901313185e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +5.825672749e+01 +5.825672749e+01 -2.969632725e+02 -2.969632725e+02 +3.2704e-01 -1.1308e-01 -3.8995e-02 +1.2494e-01 +2.3582e-01 -2.5293e-01 -2.6154e-02 +3.8834e-01 -2.3492e-01 -2.1712e-02 +1.0811e-01 -1.2631e-01 +2.7228e-01 +1.0065e-01 +7.5982e-03 -3.1295e-01 +1.6678e-01 +2.9543e-02 -8.4376e-02 +2.4516e-01
5 +5.483598121e+01 +5.483598121e+01 -3.003840188e+02 -3.003840188e+02 +2.9457e-04 -2.4026e-01 -3.5652e-02 -2.0598e-01 +2.2075e-01 -1.0095e-01 -2.2217e-01 +1.8006e-01 -5.2128e-02 +2.2942e-01 +2.1251e-01 -2.8430e-01 +9.3275e-02 +2.3080e-01 +5.2640e-02 -9.2131e-02 -1.7165e-01 +1.6161e-01 -3.3435e-01 +2.1979e-02
18 +4.998512645e+01 +4.998512645e+01 -3.052348735e+02 -3.052348735e+02 +2.2625e-01 -2.3968e-01 -8.1637e-02 +2.7993e-01 +9.1800e-03 -6.8809e-04 -2.1751e-01 +5.0294e-01 +2.6947e-01 +1.2468e-01 +5.5193e-01 -2.8073e-01 +2.7939e-01 -1.0015e-01 +2.0094e-01 -2.6854e-01 -2.1573e-01 +3.0503e-01 -4.7592e-01 +6.4701e-02
44 +4.799633190e+01 +4.799633190e+01 -3.072236681e+02 -3.072236681e+02 -3.8126e-01 -5.3955e-02 -7.7216e-02 +4.9032e-01 +9.0077e-02 -3.1345e-01 -3.5933e-02 +3.6003e-01 -1.2051e-02 +5.5810e-04 +3.9260e-01 -6.0163e-01 +4.6898e-01 +1.2383e-01 -1.6656e-01 -4.4421e-01 -6.5855e-01 +1.7366e-01 -2.1910e-01 -1.1063e-01
45 +4.176938783e+01 +4.176938783e+01 -3.134506122e+02 -3.134506122e+02 +1.3989e-01 -2.0668e-02 -1.9626e-01 +1.4294e-01 -2.9864e-01 +6.2971e-03 +2.4340e-01 +6.4755e-01 -3.4294e-01 +1.3625e-01 +2.7711e-01 -5.1050e-01 +8.4494e-02 +4.0078e-01 +3.3856e-01 -4.7119e-01 -4.3516e-01 +2.6574e-01 -3.8246e-01 +1.2499e-01
66 +3.219658257e+01 +3.219658257e+01 -3.230234174e+02 -3.230234174e+02 +2.6224e-01 +3.1562e-01 -1.2549e-01 +2.6761e-01 -3.8016e-01 -9.4433e-02 -2.5477e-01 +4.2892e-01 -3.5566e-01 +8.5239e-03 +5.0286e-01 -2.0235e-01 +4.7866e-01 +2.6136e-02 +2.4078e-01 -8.0833e-01 -4.1767e-01 +3.5264e-01 -2.0156e-01 +1.7103e-02
108 +3.124038086e+01 +3.124038086e+01 -3.239796191e+02 -3.239796191e+02 +5.6459e-01 +2.5075e-01 -5.3376e-01 +2.0709e-01 -4.1042e-01 -2.3428e-01 -2.0540e-01 +8.0863e-01 -8.0799e-01 -5.2244e-02 +1.5087e-01 -2.6047e-01 +5.2661e-01 -3.9644e-02 +5.6665e-01 -8.7494e-01 -4.5917e-01 +6.2864e-01 -3.2384e-01 -2.7790e-01
114 +2.806120678e+01 +2.806120678e+01 -3.271587932e+02 -3.271587932e+02 +5.0535e-01 -4.0946e-02 -8.0003e-01 +6.5937e-01 -4.4037e-01 -3.0997e-01 -2.8790e-01 +8.8161e-01 -1.1640e+00 -3.3428e-02 +2.6822e-01 -5.9658e-01 +2.2825e-01 +1.2901e-01 +4.9636e-01 -1.1837e+00 -5.3545e-01 +4.5696e-01 -1.7111e-01 -2.3511e-01
147 +2.083699904e+01 +2.083699904e+01 -3.343830010e+02 -3.343830010e+02 +5.7207e-01 +2.0792e-01 -1.7485e-01 +6.4385e-01 -5.8322e-01 -7.9268e-01 -2.2970e-01 +8.9838e-01 -1.6227e+00 +2.2154e-01 +1.0416e-01 -6.2849e-01 +7.0846e-01 +2.0810e-01 +6.2804e-01 -1.2546e+00 -2.7395e-01 +3.1678e-01 -2.6742e-01 -4.2358e-01
265 +1.953537033e+01 +1.953537033e+01 -3.356846297e+02 -3.356846297e+02 +1.1419e+00 +5.2045e-01 -5.0902e-01 +8.6584e-01 -6.3535e-01 -5.2218e-02 +4.3245e-02 +1.0903e+00 -1.2207e+00 -2.2676e-01 -5.8119e-02 -1.0014e+00 +6.3821e-01 -3.1058e-01 +9.0968e-01 -7.8958e-01 -6.9535e-01 +1.8205e-01 -2.9070e-01 -1.7641e-01
299 +1.843697958e+01 +1.843697958e+01 -3.367830204e+02 -3.367830204e+02 +9.8802e-01 +7.5221e-01 -8.6176e-01 +6.5857e-01 -6.8041e-01 -3.5449e-01 -1.6998e-01 +1.1495e+00 -1.3891e+00 +1.1076e-01 -4.4986e-02 -7.7678e-01 +8.0858e-01 -6.0010e-01 +6.9770e-01 -2.5005e-01 -4.8992e-01 +1.6318e-01 -4.7184e-01 -4.5799e-01
367 +1.594218949e+01 +1.594218949e+01 -3.392778105e+02 -3.392778105e+02 +1.1542e+00 +6.6082e-01 -7.8018e-01 +6.4638e-01 -7.4191e-01 -3.7600e-01 -4.1142e-01 +9.8733e-01 -1.4825e+00 +7.0655e-02 +3.8901e-02 -7.9419e-01 +5.0766e-01 -4.5810e-01 +1.0286e+00 -6.6685e-01 -7.0374e-01 +3.1287e-02 -4.2164e-01 -3.6110e-01
380 +1.375783770e+01 +1.375783770e+01 -3.414621623e+02 -3.414621623e+02 +1.3070e+00 +6.3017e-01 -8.4179e-01 +7.0904e-01 -7.8551e-01 -3.4267e-01 -4.1549e-01 +8.5595e-01 -1.4207e+00 +4.2835e-02 -2.1119e-02 -7.4565e-01 +5.2276e-01 -4.4360e-01 +9.3123e-01 -5.3988e-01 -6.8715e-01 +2.0155e-01 -5.7656e-01 -3.6343e-01
382 +1.261037234e+01 +1.261037234e+01 -3.426096277e+02 -3.426096277e+02 +1.2193e+00 +8.2306e-01 -1.0539e+00 +6.9163e-01 -7.2487e-01 -4.1605e-01 -4.9422e-01 +1.0091e+00 -1.2707e+00 +7.4995e-02 +1.1592e-02 -7.7725e-01 +5.5596e-01 -4.9237e-01 +9.2346e-01 -5.8188e-01 -6.8794e-01 +1.9233e-02 -4.0320e-01 -2.4148e-01
500 +1.204622340e+01 +1.204622340e+01 -3.431737766e+02 -3.431737766e+02 +1.1004e+00 +4.6778e-01 -9.1344e-01 +7.3884e-01 -9.7012e-01 -4.5727e-01 -3.2424e-01 +1.1343e+00 -1.3324e+00 +4.1794e-02 -2.0856e-01 -5.7066e-01 +3.7529e-01 -4.3729e-01 +1.2549e+00 -5.3249e-01 -6.0701e-01 +2.5361e-01 -2.1243e-01 -1.7865e-01
504 +1.176076898e+01 +1.176076898e+01 -3.434592310e+02 -3.434592310e+02 +1.0811e+00 +5.9679e-01 -1.0397e+00 +6.2779e-01 -8.9731e-01 -4.5702e-01 -3.6166e-01 +1.1016e+00 -1.4031e+00 +8.4011e-02 -1.9309e-01 -4.6932e-01 +4.9660e-01 -4.0064e-01 +1.1192e+00 -4.3401e-01 -6.0391e-01 +2.1429e-01 -2.4056e-01 -1.7886e-01
531 +1.156382686e+01 +1.156382686e+01 -3.436561731e+02 -3.436561731e+02 +1.2518e+00 +5.6023e-01 -9.9063e-01 +6.1754e-01 -9.3712e-01 -4.1573e-01 -2.8802e-01 +1.0717e+00 -1.3123e+00 -4.9834e-02 -2.7937e-01 -6.4148e-01 +5.3718e-01 -6.2183e-01 +1.1824e+00 -4.0445e-01 -4.7813e-01 +2.4328e-01 -1.9168e-01 -1.3340e-01
551 +1.121556485e+01 +1.121556485e+01 -3.440044351e+02 -3.440044351e+02 +1.2646e+00 +5.1249e-01 -9.2319e-01 +7.2692e-01 -9.1673e-01 -4.1306e-01 -2.2178e-01 +1.0323e+00 -1.3476e+00 -4.8025e-02 -2.7821e-01 -6.1264e-01 +5.4566e-01 -5.8326e-01 +1.2298e+00 -3.3750e-01 -5.1479e-01 +2.4374e-01 -1.2046e-01 +8.3262e-02
582 +8.594918754e+00 +8.594918754e+00 -3.466250812e+02 -3.466250812e+02 +1.2607e+00 +4.9160e-01 -9.1316e-01 +6.4144e-01 -1.0349e+00 -4.6825e-01 -2.1748e-01 +9.8638e-01 -1.3701e+00 -2.2739e-01 -3.7381e-01 -7.1686e-01 +5.8865e-01 -6.7548e-01 +1.2618e+00 -3.8868e-01 -5.1381e-01 +1.2082e-01 -2.2636e-01 -2.2701e-02
986 +7.516254753e+00 +7.516254753e+00 -3.477037452e+02 -3.477037452e+02 +1.1128e+00 +5.9129e-01 -1.0383e+00 +7.9541e-01 -1.1306e+00 -1.4189e-02 +1.7849e-01 +6.9963e-01 -2.0731e+00 -6.8053e-01 -7.9706e-01 -1.1337e+00 +9.3086e-01 -5.1768e-01 +1.3708e+00 -6.1585e-01 -4.6341e-01 +6.5425e-02 -7.6885e-01 -1.3854e-01
1022 +7.339480095e+00 +7.339480095e+00 -3.478805199e+02 -3.478805199e+02 +1.2878e+00 +5.3342e-01 -1.0058e+00 +7.9246e-01 -1.1031e+00 -1.1786e-02 +1.9140e-01 +7.3657e-01 -2.0540e+00 -6.6711e-01 -7.4817e-01 -1.1703e+00 +9.0260e-01 -4.8759e-01 +1.3972e+00 -6.8179e-01 -4.6797e-01 +1.2849e-01 -7.4497e-01 -1.9048e-01
